No,Latitude,Longitude,Month,Total Precipitation (mm)
5,43.18863,140.84127,8,7376.543998718262
5,43.18863,140.84127,9,3017.097234725952
5,43.18863,140.84127,10,3340.651750564575
5,43.18863,140.84127,11,5126.800537109375
5,43.18863,140.84127,12,4794.270038604736
5,43.18863,140.84127,Annual,52450.26779174805
6,43.21158,140.97662,1,4466.240406036377
6,43.21158,140.97662,2,3358.9730262756348
6,43.21158,140.97662,3,3568.136215209961
6,43.21158,140.97662,4,4034.3503952026367
6,43.21158,140.97662,5,2838.7269973754883
6,43.21158,140.97662,6,2900.636911392212
6,43.21158,140.97662,7,7627.840995788574
6,43.21158,140.97662,8,7376.543998718262
6,43.21158,140.97662,9,3017.097234725952
6,43.21158,140.97662,10,3340.651750564575
6,43.21158,140.97662,11,5126.800537109375
6,43.21158,140.97662,12,4794.270038604736
6,43.21158,140.97662,Annual,52450.26779174805
7,43.23656,140.99739,1,4466.240406036377
7,43.23656,140.99739,2,3358.9730262756348
7,43.23656,140.99739,3,3568.136215209961
7,43.23656,140.99739,4,4034.3503952026367
7,43.23656,140.99739,5,2838.7269973754883
7,43.23656,140.99739,6,2900.636911392212
7,43.23656,140.99739,7,7627.840995788574
7,43.23656,140.99739,8,7376.543998718262
7,43.23656,140.99739,9,3017.097234725952
7,43.23656,140.99739,10,3340.651750564575
7,43.23656,140.99739,11,5126.800537109375
7,43.23656,140.99739,12,4794.270038604736
7,43.23656,140.99739,Annual,52450.26779174805
8,43.15383,140.44359,1,5345.727920532227
8,43.15383,140.44359,2,4219.528675079346
8,43.15383,140.44359,3,3493.596076965332
8,43.15383,140.44359,4,3865.734577178955
8,43.15383,140.44359,5,2985.353469848633
8,43.15383,140.44359,6,3248.3272552490234
8,43.15383,140.44359,7,7075.89054107666
8,43.15383,140.44359,8,6696.358203887939
8,43.15383,140.44359,9,2919.032573699951
8,43.15383,140.44359,10,3836.8804454803467
8,43.15383,140.44359,11,5909.085273742676
8,43.15383,140.44359,12,5212.955474853516
8,43.15383,140.44359,Annual,54808.4716796875
9,43.12016,140.72934,1,5345.727920532227
9,43.12016,140.72934,2,4219.528675079346
9,43.12016,140.72934,3,3493.596076965332
9,43.12016,140.72934,4,3865.734577178955
9,43.12016,140.72934,5,2985.353469848633
9,43.12016,140.72934,6,3248.3272552490234
9,43.12016,140.72934,7,7075.89054107666
9,43.12016,140.72934,8,6696.358203887939
9,43.12016,140.72934,9,2919.032573699951
9,43.12016,140.72934,10,3836.8804454803467
9,43.12016,140.72934,11,5909.085273742676
9,43.12016,140.72934,12,5212.955474853516
9,43.12016,140.72934,Annual,54808.4716796875
10,43.15631,140.97559,1,4466.240406036377
10,43.15631,140.97559,2,3358.9730262756348
10,43.15631,140.97559,3,3568.136215209961
10,43.15631,140.97559,4,4034.3503952026367
10,43.15631,140.97559,5,2838.7269973754883
10,43.15631,140.97559,6,2900.636911392212
10,43.15631,140.97559,7,7627.840995788574
10,43.15631,140.97559,8,7376.543998718262
10,43.15631,140.97559,9,3017.097234725952
10,43.15631,140.97559,10,3340.651750564575
10,43.15631,140.97559,11,5126.800537109375
10,43.15631,140.97559,12,4794.270038604736
10,43.15631,140.97559,Annual,52450.26779174805
11,43.15743,141.04296,1,4466.240406036377
11,43.15743,141.04296,2,3358.9730262756348
11,43.15743,141.04296,3,3568.136215209961
11,43.15743,141.04296,4,4034.3503952026367
11,43.15743,141.04296,5,2838.7269973754883
11,43.15743,141.04296,6,2900.636911392212
11,43.15743,141.04296,7,7627.840995788574
11,43.15743,141.04296,8,7376.543998718262
11,43.15743,141.04296,9,3017.097234725952
11,43.15743,141.04296,10,3340.651750564575
11,43.15743,141.04296,11,5126.800537109375
11,43.15743,141.04296,12,4794.270038604736
11,43.15743,141.04296,Annual,52450.26779174805
12,43.13244,141.20956,1,3420.821189880371
12,43.13244,141.20956,2,2806.6534996032715
12,43.13244,141.20956,3,3243.420362472534
12,43.13244,141.20956,4,4272.874355316162
12,43.13244,141.20956,5,2945.380210876465
12,43.13244,141.20956,6,2650.8278846740723
12,43.13244,141.20956,7,7460.508346557617
12,43.13244,141.20956,8,8455.526351928711
12,43.13244,141.20956,9,3340.8498764038086
12,43.13244,141.20956,10,3259.1261863708496
12,43.13244,141.20956,11,4297.989845275879
12,43.13244,141.20956,12,4407.055854797363
12,43.13244,141.20956,Annual,50561.03515625
13,43.02957,140.53391,1,4852.242946624756
13,43.02957,140.53391,2,3701.003074645996
13,43.02957,140.53391,3,3733.8900566101074
13,43.02957,140.53391,4,4394.344806671143
13,43.02957,140.53391,5,2849.684238433838
13,43.02957,140.53391,6,3463.0136489868164
13,43.02957,140.53391,7,7796.004295349121
13,43.02957,140.53391,8,8247.15518951416
13,43.02957,140.53391,9,2968.6877727508545
13,43.02957,140.53391,10,3643.620014190674
13,43.02957,140.53391,11,6040.133476257324
13,43.02957,140.53391,12,5251.85489654541
13,43.02957,140.53391,Annual,56941.63513183594
14,43.04874,140.82307,1,3918.8828468322754
14,43.04874,140.82307,2,2913.9721393585205
14,43.04874,140.82307,3,3524.9688625335693
14,43.04874,140.82307,4,4394.501686096191
14,43.04874,140.82307,5,2804.8348426818848
14,43.04874,140.82307,6,3125.18310546875
14,43.04874,140.82307,7,8162.140846252441
14,43.04874,140.82307,8,8004.047393798828
14,43.04874,140.82307,9,3104.90345954895
14,43.04874,140.82307,10,3272.0556259155273
14,43.04874,140.82307,11,4893.325328826904
14,43.04874,140.82307,12,4636.57283782959
14,43.04874,140.82307,Annual,52755.38635253906
15,42.92640631,140.4037891,1,5435.000896453857
15,42.92640631,140.4037891,2,4209.672927856445
15,42.92640631,140.4037891,3,4011.3306045532227
15,42.92640631,140.4037891,4,4594.242095947266
15,42.92640631,140.4037891,5,2882.629871368408
15,42.92640631,140.4037891,6,3616.7399883270264
15,42.92640631,140.4037891,7,7815.2008056640625
15,42.92640631,140.4037891,8,8904.743194580078
15,42.92640631,140.4037891,9,2949.049472808838
15,42.92640631,140.4037891,10,4032.7677726745605
15,42.92640631,140.4037891,11,6903.134346008301
15,42.92640631,140.4037891,12,5733.896255493164
15,42.92640631,140.4037891,Annual,61088.409423828125
16,42.85231,140.40621,1,5435.000896453857
16,42.85231,140.40621,2,4209.672927856445
16,42.85231,140.40621,3,4011.3306045532227
16,42.85231,140.40621,4,4594.242095947266
16,42.85231,140.40621,5,2882.629871368408
16,42.85231,140.40621,6,3616.7399883270264
16,42.85231,140.40621,7,7815.2008056640625
16,42.85231,140.40621,8,8904.743194580078
16,42.85231,140.40621,9,2949.049472808838
16,42.85231,140.40621,10,4032.7677726745605
16,42.85231,140.40621,11,6903.134346008301
16,42.85231,140.40621,12,5733.896255493164
16,42.85231,140.40621,Annual,61088.409423828125
17,42.86926,140.59849,1,4852.242946624756
17,42.86926,140.59849,2,3701.003074645996
17,42.86926,140.59849,3,3733.8900566101074
17,42.86926,140.59849,4,4394.344806671143
17,42.86926,140.59849,5,2849.684238433838
17,42.86926,140.59849,6,3463.0136489868164
17,42.86926,140.59849,7,7796.004295349121
17,42.86926,140.59849,8,8247.15518951416
17,42.86926,140.59849,9,2968.6877727508545
17,42.86926,140.59849,10,3643.620014190674
17,42.86926,140.59849,11,6040.133476257324
17,42.86926,140.59849,12,5251.85489654541
17,42.86926,140.59849,Annual,56941.63513183594
18,42.85862,140.70494,1,4852.242946624756
18,42.85862,140.70494,2,3701.003074645996
18,42.85862,140.70494,3,3733.8900566101074
18,42.85862,140.70494,4,4394.344806671143
18,42.85862,140.70494,5,2849.684238433838
18,42.85862,140.70494,6,3463.0136489868164
18,42.85862,140.70494,7,7796.004295349121
18,42.85862,140.70494,8,8247.15518951416
18,42.85862,140.70494,9,2968.6877727508545
18,42.85862,140.70494,10,3643.620014190674
18,42.85862,140.70494,11,6040.133476257324
18,42.85862,140.70494,12,5251.85489654541
18,42.85862,140.70494,Annual,56941.63513183594
19,42.8463,140.7486,1,4852.242946624756
19,42.8463,140.7486,2,3701.003074645996
19,42.8463,140.7486,3,3733.8900566101074
19,42.8463,140.7486,4,4394.344806671143
19,42.8463,140.7486,5,2849.684238433838
19,42.8463,140.7486,6,3463.0136489868164
19,42.8463,140.7486,7,7796.004295349121
19,42.8463,140.7486,8,8247.15518951416
19,42.8463,140.7486,9,2968.6877727508545
19,42.8463,140.7486,10,3643.620014190674
19,42.8463,140.7486,11,6040.133476257324
19,42.8463,140.7486,12,5251.85489654541
19,42.8463,140.7486,Annual,56941.63513183594
20,42.89613,140.90452,1,3918.8828468322754
20,42.89613,140.90452,2,2913.9721393585205
20,42.89613,140.90452,3,3524.9688625335693
20,42.89613,140.90452,4,4394.501686096191
20,42.89613,140.90452,5,2804.8348426818848
20,42.89613,140.90452,6,3125.18310546875
20,42.89613,140.90452,7,8162.140846252441
20,42.89613,140.90452,8,8004.047393798828
20,42.89613,140.90452,9,3104.90345954895
20,42.89613,140.90452,10,3272.0556259155273
20,42.89613,140.90452,11,4893.325328826904
20,42.89613,140.90452,12,4636.57283782959
20,42.89613,140.90452,Annual,52755.38635253906
21,42.82108,140.18605,1,5435.000896453857
21,42.82108,140.18605,2,4209.672927856445
21,42.82108,140.18605,3,4011.3306045532227
21,42.82108,140.18605,4,4594.242095947266
21,42.82108,140.18605,5,2882.629871368408
21,42.82108,140.18605,6,3616.7399883270264
21,42.82108,140.18605,7,7815.2008056640625
21,42.82108,140.18605,8,8904.743194580078
21,42.82108,140.18605,9,2949.049472808838
21,42.82108,140.18605,10,4032.7677726745605
21,42.82108,140.18605,11,6903.134346008301
21,42.82108,140.18605,12,5733.896255493164
21,42.82108,140.18605,Annual,61088.409423828125
22,42.83161,140.43673,1,4852.242946624756
22,42.83161,140.43673,2,3701.003074645996
22,42.83161,140.43673,3,3733.8900566101074
22,42.83161,140.43673,4,4394.344806671143
22,42.83161,140.43673,5,2849.684238433838
22,42.83161,140.43673,6,3463.0136489868164
22,42.83161,140.43673,7,7796.004295349121
22,42.83161,140.43673,8,8247.15518951416
22,42.83161,140.43673,9,2968.6877727508545
22,42.83161,140.43673,10,3643.620014190674
22,42.83161,140.43673,11,6040.133476257324
22,42.83161,140.43673,12,5251.85489654541
22,42.83161,140.43673,Annual,56941.63513183594
23,42.80909,140.58603,1,4852.242946624756
23,42.80909,140.58603,2,3701.003074645996
23,42.80909,140.58603,3,3733.8900566101074
23,42.80909,140.58603,4,4394.344806671143
23,42.80909,140.58603,5,2849.684238433838
23,42.80909,140.58603,6,3463.0136489868164
23,42.80909,140.58603,7,7796.004295349121
23,42.80909,140.58603,8,8247.15518951416
23,42.80909,140.58603,9,2968.6877727508545
23,42.80909,140.58603,10,3643.620014190674
23,42.80909,140.58603,11,6040.133476257324
23,42.80909,140.58603,12,5251.85489654541
23,42.80909,140.58603,Annual,56941.63513183594
24,42.82686,140.66742,1,4852.242946624756
24,42.82686,140.66742,2,3701.003074645996
24,42.82686,140.66742,3,3733.8900566101074
24,42.82686,140.66742,4,4394.344806671143
24,42.82686,140.66742,5,2849.684238433838
24,42.82686,140.66742,6,3463.0136489868164
24,42.82686,140.66742,7,7796.004295349121
24,42.82686,140.66742,8,8247.15518951416
24,42.82686,140.66742,9,2968.6877727508545
24,42.82686,140.66742,10,3643.620014190674
24,42.82686,140.66742,11,6040.133476257324
24,42.82686,140.66742,12,5251.85489654541
24,42.82686,140.66742,Annual,56941.63513183594
25,42.77332,140.78236,1,3100.078821182251
25,42.77332,140.78236,2,2371.6752529144287
25,42.77332,140.78236,3,3373.1906414031982
25,42.77332,140.78236,4,4687.827110290527
25,42.77332,140.78236,5,2889.119863510132
25,42.77332,140.78236,6,3193.1004524230957
25,42.77332,140.78236,7,8316.37954711914
25,42.77332,140.78236,8,8480.06820678711
25,42.77332,140.78236,9,3080.6455612182617
25,42.77332,140.78236,10,3367.3651218414307
25,42.77332,140.78236,11,4284.554958343506
25,42.77332,140.78236,12,4276.3800621032715
25,42.77332,140.78236,Annual,51420.387268066406
26,42.80709,140.99768,1,3918.8828468322754
26,42.80709,140.99768,2,2913.9721393585205
26,42.80709,140.99768,3,3524.9688625335693
26,42.80709,140.99768,4,4394.501686096191
26,42.80709,140.99768,5,2804.8348426818848
26,42.80709,140.99768,6,3125.18310546875
26,42.80709,140.99768,7,8162.140846252441
26,42.80709,140.99768,8,8004.047393798828
26,42.80709,140.99768,9,3104.90345954895
26,42.80709,140.99768,10,3272.0556259155273
26,42.80709,140.99768,11,4893.325328826904
26,42.80709,140.99768,12,4636.57283782959
26,42.80709,140.99768,Annual,52755.38635253906
27,42.68703,140.01549,1,4625.511646270752
27,42.68703,140.01549,2,3857.104778289795
27,42.68703,140.01549,3,3944.530248641968
27,42.68703,140.01549,4,4576.107501983643
27,42.68703,140.01549,5,2820.2600479125977
27,42.68703,140.01549,6,3406.9700241088867
27,42.68703,140.01549,7,7918.000221252441
27,42.68703,140.01549,8,9686.302185058594
27,42.68703,140.01549,9,2806.474208831787
27,42.68703,140.01549,10,3979.048728942871
27,42.68703,140.01549,11,6644.096374511719
27,42.68703,140.01549,12,5639.17350769043
27,42.68703,140.01549,Annual,59903.57971191406
28,42.74149,140.29935,1,4444.451332092285
28,42.74149,140.29935,2,3556.2684535980225
28,42.74149,140.29935,3,3924.039363861084
28,42.74149,140.29935,4,4516.454219818115
28,42.74149,140.29935,5,2818.037271499634
28,42.74149,140.29935,6,3628.9379596710205
28,42.74149,140.29935,7,7806.795120239258
28,42.74149,140.29935,8,9480.595588684082
28,42.74149,140.29935,9,2838.7255668640137
28,42.74149,140.29935,10,3849.2271900177
28,42.74149,140.29935,11,6247.687339782715
28,42.74149,140.29935,12,5233.175754547119
28,42.74149,140.29935,Annual,58344.39468383789
29,42.73884,140.88914,1,2771.9979286193848
29,42.73884,140.88914,2,2177.234649658203
29,42.73884,140.88914,3,3318.7594413757324
29,42.73884,140.88914,4,4886.590003967285
29,42.73884,140.88914,5,3020.820140838623
29,42.73884,140.88914,6,3105.2114963531494
29,42.73884,140.88914,7,8482.41901397705
29,42.73884,140.88914,8,8171.3714599609375
29,42.73884,140.88914,9,3266.3064002990723
29,42.73884,140.88914,10,3546.689510345459
29,42.73884,140.88914,11,3865.2822971343994
29,42.73884,140.88914,12,4166.265487670898
29,42.73884,140.88914,Annual,50778.94973754883
30,42.74368,141.04218,1,2771.9979286193848
30,42.74368,141.04218,2,2177.234649658203
30,42.74368,141.04218,3,3318.7594413757324
30,42.74368,141.04218,4,4886.590003967285
30,42.74368,141.04218,5,3020.820140838623
30,42.74368,141.04218,6,3105.2114963531494
30,42.74368,141.04218,7,8482.41901397705
30,42.74368,141.04218,8,8171.3714599609375
30,42.74368,141.04218,9,3266.3064002990723
30,42.74368,141.04218,10,3546.689510345459
30,42.74368,141.04218,11,3865.2822971343994
30,42.74368,141.04218,12,4166.265487670898
30,42.74368,141.04218,Annual,50778.94973754883
31,42.58774,139.82795,1,4625.511646270752
31,42.58774,139.82795,2,3857.104778289795
31,42.58774,139.82795,3,3944.530248641968
31,42.58774,139.82795,4,4576.107501983643
31,42.58774,139.82795,5,2820.2600479125977
31,42.58774,139.82795,6,3406.9700241088867
31,42.58774,139.82795,7,7918.000221252441
31,42.58774,139.82795,8,9686.302185058594
31,42.58774,139.82795,9,2806.474208831787
31,42.58774,139.82795,10,3979.048728942871
31,42.58774,139.82795,11,6644.096374511719
31,42.58774,139.82795,12,5639.17350769043
31,42.58774,139.82795,Annual,59903.57971191406
32,42.59739,140.21344,1,4444.451332092285
32,42.59739,140.21344,2,3556.2684535980225
32,42.59739,140.21344,3,3924.039363861084
32,42.59739,140.21344,4,4516.454219818115
32,42.59739,140.21344,5,2818.037271499634
32,42.59739,140.21344,6,3628.9379596710205
32,42.59739,140.21344,7,7806.795120239258
32,42.59739,140.21344,8,9480.595588684082
32,42.59739,140.21344,9,2838.7255668640137
32,42.59739,140.21344,10,3849.2271900177
32,42.59739,140.21344,11,6247.687339782715
32,42.59739,140.21344,12,5233.175754547119
32,42.59739,140.21344,Annual,58344.39468383789
33,42.66321,140.2829,1,4444.451332092285
33,42.66321,140.2829,2,3556.2684535980225
33,42.66321,140.2829,3,3924.039363861084
33,42.66321,140.2829,4,4516.454219818115
33,42.66321,140.2829,5,2818.037271499634
33,42.66321,140.2829,6,3628.9379596710205
33,42.66321,140.2829,7,7806.795120239258
33,42.66321,140.2829,8,9480.595588684082
33,42.66321,140.2829,9,2838.7255668640137
33,42.66321,140.2829,10,3849.2271900177
33,42.66321,140.2829,11,6247.687339782715
33,42.66321,140.2829,12,5233.175754547119
33,42.66321,140.2829,Annual,58344.39468383789
34,42.61363,140.56581,1,3100.078821182251
34,42.61363,140.56581,2,2371.6752529144287
34,42.61363,140.56581,3,3373.1906414031982
34,42.61363,140.56581,4,4687.827110290527
34,42.61363,140.56581,5,2889.119863510132
34,42.61363,140.56581,6,3193.1004524230957
34,42.61363,140.56581,7,8316.37954711914
34,42.61363,140.56581,8,8480.06820678711
34,42.61363,140.56581,9,3080.6455612182617
34,42.61363,140.56581,10,3367.3651218414307
34,42.61363,140.56581,11,4284.554958343506
34,42.61363,140.56581,12,4276.3800621032715
34,42.61363,140.56581,Annual,51420.387268066406
35,42.53709,139.91873,1,4625.511646270752
35,42.53709,139.91873,2,3857.104778289795
35,42.53709,139.91873,3,3944.530248641968
35,42.53709,139.91873,4,4576.107501983643
35,42.53709,139.91873,5,2820.2600479125977
35,42.53709,139.91873,6,3406.9700241088867
35,42.53709,139.91873,7,7918.000221252441
35,42.53709,139.91873,8,9686.302185058594
35,42.53709,139.91873,9,2806.474208831787
35,42.53709,139.91873,10,3979.048728942871
35,42.53709,139.91873,11,6644.096374511719
35,42.53709,139.91873,12,5639.17350769043
35,42.53709,139.91873,Annual,59903.57971191406
36,42.53336,140.19301,1,4444.451332092285
36,42.53336,140.19301,2,3556.2684535980225
36,42.53336,140.19301,3,3924.039363861084
36,42.53336,140.19301,4,4516.454219818115
36,42.53336,140.19301,5,2818.037271499634
36,42.53336,140.19301,6,3628.9379596710205
36,42.53336,140.19301,7,7806.795120239258
36,42.53336,140.19301,8,9480.595588684082
36,42.53336,140.19301,9,2838.7255668640137
36,42.53336,140.19301,10,3849.2271900177
36,42.53336,140.19301,11,6247.687339782715
36,42.53336,140.19301,12,5233.175754547119
36,42.53336,140.19301,Annual,58344.39468383789
37,42.51503,140.34035,1,2975.8260250091553
37,42.51503,140.34035,2,2462.6286029815674
37,42.51503,140.34035,3,3758.3742141723633
37,42.51503,140.34035,4,4353.081703186035
37,42.51503,140.34035,5,3073.124647140503
37,42.51503,140.34035,6,3587.1777534484863
37,42.51503,140.34035,7,7208.287715911865
37,42.51503,140.34035,8,8937.288284301758
37,42.51503,140.34035,9,2807.635545730591
37,42.51503,140.34035,10,3549.7732162475586
37,42.51503,140.34035,11,4932.955265045166
37,42.51503,140.34035,12,4411.753177642822
37,42.51503,140.34035,Annual,52057.90710449219
38,42.44591,139.95985,1,3651.768922805786
38,42.44591,139.95985,2,3177.523612976074
38,42.44591,139.95985,3,4046.5340614318848
38,42.44591,139.95985,4,4619.244575500488
38,42.44591,139.95985,5,3009.8493099212646
38,42.44591,139.95985,6,3153.425455093384
38,42.44591,139.95985,7,7761.910438537598
38,42.44591,139.95985,8,9793.12515258789
38,42.44591,139.95985,9,3065.5078887939453
38,42.44591,139.95985,10,3733.761787414551
38,42.44591,139.95985,11,5988.549709320068
38,42.44591,139.95985,12,5303.919792175293
38,42.44591,139.95985,Annual,57305.11474609375
39,42.49655,140.15637,1,2975.8260250091553
39,42.49655,140.15637,2,2462.6286029815674
39,42.49655,140.15637,3,3758.3742141723633
39,42.49655,140.15637,4,4353.081703186035
39,42.49655,140.15637,5,3073.124647140503
39,42.49655,140.15637,6,3587.1777534484863
39,42.49655,140.15637,7,7208.287715911865
39,42.49655,140.15637,8,8937.288284301758
39,42.49655,140.15637,9,2807.635545730591
39,42.49655,140.15637,10,3549.7732162475586
39,42.49655,140.15637,11,4932.955265045166
39,42.49655,140.15637,12,4411.753177642822
39,42.49655,140.15637,Annual,52057.90710449219
40,42.4991,140.32117,1,2975.8260250091553
40,42.4991,140.32117,2,2462.6286029815674
40,42.4991,140.32117,3,3758.3742141723633
40,42.4991,140.32117,4,4353.081703186035
40,42.4991,140.32117,5,3073.124647140503
40,42.4991,140.32117,6,3587.1777534484863
40,42.4991,140.32117,7,7208.287715911865
40,42.4991,140.32117,8,8937.288284301758
40,42.4991,140.32117,9,2807.635545730591
40,42.4991,140.32117,10,3549.7732162475586
40,42.4991,140.32117,11,4932.955265045166
40,42.4991,140.32117,12,4411.753177642822
40,42.4991,140.32117,Annual,52057.90710449219
41,42.3992,139.89846,1,3651.768922805786
41,42.3992,139.89846,2,3177.523612976074
41,42.3992,139.89846,3,4046.5340614318848
41,42.3992,139.89846,4,4619.244575500488
41,42.3992,139.89846,5,3009.8493099212646
41,42.3992,139.89846,6,3153.425455093384
41,42.3992,139.89846,7,7761.910438537598
41,42.3992,139.89846,8,9793.12515258789
41,42.3992,139.89846,9,3065.5078887939453
41,42.3992,139.89846,10,3733.761787414551
41,42.3992,139.89846,11,5988.549709320068
41,42.3992,139.89846,12,5303.919792175293
41,42.3992,139.89846,Annual,57305.11474609375
42,42.37586,140.06331,1,2975.8260250091553
42,42.37586,140.06331,2,2462.6286029815674
42,42.37586,140.06331,3,3758.3742141723633
42,42.37586,140.06331,4,4353.081703186035
42,42.37586,140.06331,5,3073.124647140503
42,42.37586,140.06331,6,3587.1777534484863
42,42.37586,140.06331,7,7208.287715911865
42,42.37586,140.06331,8,8937.288284301758
42,42.37586,140.06331,9,2807.635545730591
42,42.37586,140.06331,10,3549.7732162475586
42,42.37586,140.06331,11,4932.955265045166
42,42.37586,140.06331,12,4411.753177642822
42,42.37586,140.06331,Annual,52057.90710449219
43,42.387214,140.285139,1,2975.8260250091553
43,42.387214,140.285139,2,2462.6286029815674
43,42.387214,140.285139,3,3758.3742141723633
43,42.387214,140.285139,4,4353.081703186035
43,42.387214,140.285139,5,3073.124647140503
43,42.387214,140.285139,6,3587.1777534484863
43,42.387214,140.285139,7,7208.287715911865
43,42.387214,140.285139,8,8937.288284301758
43,42.387214,140.285139,9,2807.635545730591
43,42.387214,140.285139,10,3549.7732162475586
43,42.387214,140.285139,11,4932.955265045166
43,42.387214,140.285139,12,4411.753177642822
43,42.387214,140.285139,Annual,52057.90710449219
44,42.29009,139.91316,1,3651.768922805786
44,42.29009,139.91316,2,3177.523612976074
44,42.29009,139.91316,3,4046.5340614318848
44,42.29009,139.91316,4,4619.244575500488
44,42.29009,139.91316,5,3009.8493099212646
44,42.29009,139.91316,6,3153.425455093384
44,42.29009,139.91316,7,7761.910438537598
44,42.29009,139.91316,8,9793.12515258789
44,42.29009,139.91316,9,3065.5078887939453
44,42.29009,139.91316,10,3733.761787414551
44,42.29009,139.91316,11,5988.549709320068
44,42.29009,139.91316,12,5303.919792175293
44,42.29009,139.91316,Annual,57305.11474609375
45,42.29378,140.15623,1,2975.8260250091553
45,42.29378,140.15623,2,2462.6286029815674
45,42.29378,140.15623,3,3758.3742141723633
45,42.29378,140.15623,4,4353.081703186035
45,42.29378,140.15623,5,3073.124647140503
45,42.29378,140.15623,6,3587.1777534484863
45,42.29378,140.15623,7,7208.287715911865
45,42.29378,140.15623,8,8937.288284301758
45,42.29378,140.15623,9,2807.635545730591
45,42.29378,140.15623,10,3549.7732162475586
45,42.29378,140.15623,11,4932.955265045166
45,42.29378,140.15623,12,4411.753177642822
45,42.29378,140.15623,Annual,52057.90710449219
46,42.33379,140.25812,1,2975.8260250091553
46,42.33379,140.25812,2,2462.6286029815674
46,42.33379,140.25812,3,3758.3742141723633
46,42.33379,140.25812,4,4353.081703186035
46,42.33379,140.25812,5,3073.124647140503
46,42.33379,140.25812,6,3587.1777534484863
46,42.33379,140.25812,7,7208.287715911865
46,42.33379,140.25812,8,8937.288284301758
46,42.33379,140.25812,9,2807.635545730591
46,42.33379,140.25812,10,3549.7732162475586
46,42.33379,140.25812,11,4932.955265045166
46,42.33379,140.25812,12,4411.753177642822
46,42.33379,140.25812,Annual,52057.90710449219
47,42.21501,139.87451,1,3820.5533027648926
47,42.21501,139.87451,2,3478.877544403076
47,42.21501,139.87451,3,4302.036285400391
47,42.21501,139.87451,4,4517.223834991455
47,42.21501,139.87451,5,3509.324312210083
47,42.21501,139.87451,6,2765.923023223877
47,42.21501,139.87451,7,6796.110153198242
47,42.21501,139.87451,8,8842.557907104492
