"No","調査コース","二次メッシュ","lat1","lon1","lat2","lon2","標高(m)","海外線からの距離(km)","1990-2010年代の在不在の比較","1990の観測数","2010年の観測数","都道府県コード","2010 Total Precipitation (mm) within 20km□"
"51","011-102","634012","42.14269","140.29141","42.16448","140.3009","146","10.25281531","0","6","7","1","39803.523"
"52","011-103","634013","42.12108","140.4244","42.11802","140.4037","117","5.989135107","0","1","3","1","38302.715"
"53","011-107","634000","42.02654","140.10227","42.047339","140.095842","52","0.3364020104","0","0","0","0","44911.75"
"54","011-111","634004","42.04215","140.56375","42.06619","140.58861","212","7.527129727","-1","2","0","1","34839.85"
"55","011-112","634005","42.01265","140.71621","42.00686","140.69918","130.8","8.799090785","0","0","0","0","32227.164"
"56","011-113","634006","42.06651","140.7919","42.0691","140.79711","19.2","1.055090086","0","0","0","0","31448.775"
"57","011-116a","624071","41.98088","140.1369","41.98716","140.15258","98","0.6523071167","0","9","2","1","44872.926"
"58","011-116b","624071","41.94213","140.22139","41.9538","140.22419","17","7.062092171","0","4","4","1","42854.844"
"59","011-118","624073","41.948586","140.388089","41.959128","140.376503","149","20.74044654","0","0","0","0","38447.914"
"60","011-120","624075","42.00217","140.66851","41.98775","140.66268","132.2","12.78003831","1","0","2","1","32779.56"
"61","011-122","624077","41.94835","140.92537","41.93514","140.93378","81.8","0.787714101","0","2","4","1","32049.469"
"62","011-125","624062","41.8954","140.33245","41.90673","140.34117","42","16.0366934","0","0","0","0","39566.965"
"63","011-127","624064","41.85075","140.6207","41.86251","140.60258","28","4.0665752","0","2","2","1","32971.418"
"64","011-128","624065","41.85265994","140.7377857","41.86754","140.74097","71.6","5.012057954","0","0","0","0","33522.14"
"65","011-129","624066","41.85304","140.77899","41.85646","140.75985","146.1","7.266869521","0","2","2","1","33793.6"
"66","011-133","624050","41.80347","140.08543","41.80057","140.09946","102","0.6297812319","1","0","2","1","44264.83"
"67","011-134","624051","41.77367","140.15469","41.77641106","140.1824162","14","5.196932613","0","0","0","0","45119.016"
"68","011-137","624054","41.8205","140.61266","41.82752","140.58347","16.3","1.696552927","0","2","2","1","33678.613"
"69","011-138","624055","41.75766","140.71186","41.76387","140.69439","72.1","0.7723433787","0","0","0","0","35073.113"
"70","011-139","624056","41.80482","140.82613","41.81658","140.84251","38.2","4.282741711","1","0","4","1","34973.316"
"71","011-140","624057","41.75475","140.88119","41.76397","140.88852","17.1","0.1950472079","0","0","0","0","36042.168"
"72","011-141","624150","41.76174","141.0787","41.78555","141.07798","4.7","0.4186277149","-1","1","0","1","33345.996"
"73","011-145","624042","41.69406","140.32332","41.681103","140.314281","74","9.823027688","0","0","0","0","42865.52"
"74","011-146","624042","41.71766","140.38204","41.73371","140.37212","52","6.344698836","0","1","4","1","40784.13"
"75","011-147","624044","41.71081","140.51345","41.73541","140.49754","13","1.062572356","0","1","2","1","38397.684"
"76","011-151","623937","41.59613","139.98437","41.59096675","139.9887608","34","0.330259314","0","0","0","0","42700.656"
"77","011-154","624032","41.60337","140.30768","41.59977","140.27508","48","10.3114511","0","0","0","0","44560.527"
"78","011-155","624033","41.59484","140.42686","41.59597","140.39599","4.2","0.944937967","0","0","0","0","43189.88"
"79","011-158","624021","41.50281","140.13694","41.50894","140.13622","362","7.992436934","0","6","5","1","46146.98"
"80","011-159","624022","41.556567","140.284497","41.5421","140.29362","117","6.985647787","0","0","0","0","44756.402"
"81","011-160","624023","41.58529","140.41565","41.56751","140.42567","6.6","1.14705088","0","2","1","1","43360.09"
"82","011-162","624011","41.46909","140.13445","41.4949","140.14502","44","4.241948947","0","8","6","1","46029.215"
"83","012-017","654270","43.92424","142.06542","43.934139","142.066433","229","33.61782809","0","0","0","0","33858.055"
"84","012-018","654271","43.9736","142.20666","43.98676","142.21425","171.4","43.96448952","0","3","3","1","36360.48"
"85","012-028","654250","43.7719","142.11474","43.781239","142.109275","182","42.17716661","0","1","1","1","34011.047"
"86","012-032","654144","43.69817","141.61486","43.70159","141.59189","846","18.2498973","0","0","0","0","38062.332"
"87","012-033","654145","43.69376","141.67196","43.69785","141.63549","395","20.49594015","1","0","3","1","37041.406"
"88","012-034","654146","43.70952785","141.8213991","43.69910374","141.7958215","64","26.44747742","0","0","0","0","34857.86"
"89","012-035","654147","43.7077","141.91131","43.70738","141.88787","36.8","32.07432619","0","0","0","0","34353.992"
"90","012-039","654133","43.62339","141.37709","43.6253","141.41338","23","1.043906475","1","0","2","1","41477.23"
"91","012-044","654230","43.62181","142.02388","43.62493","142.04022","242","45.14365847","0","0","0","0","34437.87"
"92","012-048","654123","43.55621","141.39535","43.5461","141.42683","45","1.60595662","0","0","0","0","40840.055"
"93","012-050a","654125","43.55731","141.67423","43.564189","141.646311","174","23.49266797","-1","2","0","1","37224.934"
"94","012-050b","654125","43.57477","141.74061","43.57064","141.71213","122","28.6551212","0","0","0","0","36326.984"
"95","012-051","654137","43.627429","142.001481","43.63014","141.995318","156","43.36823449","0","0","0","0","34320.82"
"96","012-052","654127","43.51795","141.95447","43.53807","141.93757","67.4","43.92515467","0","1","1","1","35572.492"
"97","012-053","654220","43.54344","142.0349","43.52667","142.046","96","50.93505103","1","0","4","1","35449.758"
"98","012-055","654222","43.52324","142.36661","43.53354","142.3486","342","73.91608145","0","1","2","1","38595.777"
"99","012-057","654113","43.48955","141.40511","43.470581","141.404225","78","1.641244376","0","1","4","1","39037.71"
"100","012-058","654114","43.42219","141.54122","43.42108","141.55998","214","9.123505073","0","1","2","1","35761.863"
"101","012-061","654117","43.50232","141.90311","43.485854","141.884687","28.2","39.47852267","0","0","0","0","33814.44"
"102","012-065","654103","43.35686","141.4355","43.36462","141.46327","9","0.6453871595","1","0","5","1","35322.816"
"103","012-066","654104","43.3751","141.56855","43.3524","141.56187","62","11.20357708","0","6","2","1","34252.25"
"104","012-069","654107","43.39160087","141.9584124","43.39351875","141.9895689","131.5","42.67608688","1","0","4","1","34228.32"
"105","012-074","644173","43.308264","141.409211","43.299081","141.409103","44","0.1893663533","0","0","0","0","35178.934"
"106","012-075","644174","43.304286","141.593","0","0","41","13.98637679","0","0","0","0","32999.93"
"107","012-079","644270","43.293969","142.105142","43.274469","142.112181","334.6","55.34423687","0","0","0","0","38030.266"
"108","012-082","644162","43.25008","141.35708","43.23059","141.33198","1.8","0.4737718593","0","0","0","0","35666.68"
"109","012-085","644165","43.20989","141.65825","43.19369","141.64029","14.6","23.16471241","0","0","0","0","30864.275"
"110","012-086","644166","43.1822","141.78257","43.17682122","141.8005912","53.1","33.372594","0","0","0","0","29266.451"
"111","012-087","644260","43.225889","141.908633","43.206611","141.921958","80.7","40.97636706","0","0","0","0","30285.32"
"112","012-088","644260","43.23754","142.03732","43.24533","142.01922","209","50.81132552","0","0","0","0","34927.562"
"113","012-094","644153","43.15049","141.44601","43.16233","141.42867","9.7","13.07282615","0","0","0","0","34505.465"
"114","012-095","644154","43.11569","141.5794","43.11724","141.60733","11.9","23.91313168","1","0","1","1","31116.03"
"115","012-097","644156","43.1093","141.8045","43.0934","141.82037","50.9","39.16450005","0","0","0","0","28192.596"
"116","012-100","644251","43.09018","142.15478","43.1078","142.17107","366","60.16098019","0","5","3","1","36577.336"
"117","012-101","644252","43.1321","142.3418","43.1147","142.3223","373","71.38721313","0","0","0","0","41002.64"
"118","012-105","644142","43.03966","141.30592","43.02527768","141.2941488","126.7","15.64208382","0","0","0","0","36478.047"
"119","012-107","644144","43.06959021","141.519957","43.05965122","141.510462","26.4","23.51864562","0","1","10","1","32491.645"
"120","012-110","644147","43.02386","141.92217","43.00601","141.92138","123","44.64464218","0","9","8","1","28311.201"
"121","012-112","644241","43.05768","142.1305","43.06515","142.15793","303","56.06500793","0","5","9","1","35605.26"
"122","012-116","644131","42.97507","141.21148","42.956682","141.200156","224.4","19.29440405","1","0","2","1","37910.1"
"123","012-117","644132","42.95331","141.31553","42.94983","141.3172","235.4","24.43681622","-1","8","0","1","36459.543"
"124","012-118","644133","42.98444","141.37956","42.9838","141.37659","139.7","23.81604522","0","2","2","1","35479.047"
"125","012-119","644134","42.98273","141.5409","42.98864","141.52077","90","31.53762073","0","3","1","1","33457.99"
"126","012-122","644137","42.94814","141.8788","42.95464","141.90804","64.8","35.52444331","0","0","0","0","27765.25"
"127","012-123","644230","42.939061","142.089833","42.92366","142.0969","238","42.65934197","0","0","0","0","32628.4"
"128","012-125","644232","42.94313","142.36363","42.9483","142.33353","283.2","55.57535705","1","0","6","1","37625"
"129","012-127","644121","42.89293","141.17728","42.90333","141.16457","742.1","28.01726537","0","2","5","1","38701.64"
"130","012-131","644125","42.84969","141.6733","42.873","141.65758","8.7","21.36809441","0","0","0","0","32733.154"
"131","012-132","644126","42.91441","141.80683","42.91002","141.79692","49","29.88598393","0","1","1","1","29346.684"
"132","012-135","644221","42.8635","142.16599","42.8828","142.1617","146","38.5024933","0","4","3","1","33442.11"
"133","012-139","644112","42.80189","141.32676","42.80136","141.3098","250.8","25.84794348","0","1","9","1","36272.97"
"134","012-140","644113","42.77163","141.40371","42.7888","141.40106","252.3","20.12346325","0","2","6","1","35257.93"
"135","012-141","644114","42.8161","141.59515","42.80238","141.56795","25.9","19.16141009","0","7","1","1","34094.19"
"136","012-142","644115","42.75628","141.71561","42.76056","141.72895","5.9","11.02798855","0","0","0","0","32293.127"
"137","012-143","644116","42.75722","141.8251","42.75435","141.83963","24.5","15.27065186","0","1","7","1","29655.441"
"138","012-157","644105","42.68581","141.64899","42.69658","141.63161","8.4","4.037153476","0","1","1","1","34485.773"
"139","012-158","644106","42.70793","141.82137","42.69023","141.80875","17","10.68789941","1","0","2","1","30065.268"
"140","012-160","644200","42.6822","141.9968","42.6799","142.02617","192.7","14.06155369","0","4","8","1","30822.574"
"141","012-161","644201","42.67739","142.19224","42.67303","142.21784","53.4","23.87466446","-1","5","0","1","32241.191"
"142","012-162","644202","42.67092","142.26959","42.67284","142.3077","74.7","24.90428591","0","4","3","1","32967.1"
"143","012-164","634075","42.62395","140.69783","42.60331","140.70199","50","4.127219693","0","2","8","1","33711.55"
"144","012-166","634077","42.61824","140.92197","42.61906","140.93364","116","15.11132677","1","0","25","1","32268.922"
"145","012-167","634170","42.6405","141.05062","42.63794","141.03043","329","23.73984496","1","0","4","1","34376.703"
"146","012-169","634172","42.62667","141.27897","42.62734","141.2558","135.6","11.00704556","0","1","7","1","35492.58"
"147","012-170","634173","42.60288","141.42176","42.60812","141.42689","24.9","2.705646326","0","0","0","0","35080.56"
"148","012-171","644104","42.65874","141.59032","42.66829308","141.5858493","19","3.159629494","0","0","0","0","35242.707"
"149","012-173","634176","42.6493","141.79416","42.6402657","141.7866116","23.9","4.049611567","1","0","5","1","31120.44"
"150","012-174","634177","42.61808","141.94117","42.61122","141.95","39.6","5.615067295","0","1","2","1","30159.822"
"151","012-180","634067","42.55133","140.88223","42.56205","140.88517","52.4","8.664319604","1","0","1","1","30906.168"
"152","012-181","634160","42.58258","141.02191","42.57217","141.04182","235","18.29615997","0","4","7","1","32869.15"
"153","012-183","634162","42.561714","141.369514","42.57512","141.34868","26.4","0.9205732968","0","1","1","1","34703.062"
"154","012-184","634162","42.57935","141.40289","42.58302","141.37357","6.8","1.37170711","0","0","0","0","34882.184"
"155","012-187","634056","42.49638","140.83118","42.4994","140.81303","7.8","1.405757164","-1","1","0","1","31108.902"
"156","012-191","634152","42.49394217","141.2650942","42.49863","141.2425","2.8","1.728687969","1","0","12","1","33970.633"
"157","012-193","634150","42.41688","141.07258","42.40517","141.09818","40","2.81768079","0","0","0","0","32328.36"
"158","012-195","634037","42.31953","140.96143","42.318","140.94901","116.2","0.3696141544","0","9","7","1","30610.54"
"159","013-010","674201","44.70916","142.20751","44.68476","142.2048","52","33.26518907","0","0","0","0","38993.32"
"160","013-011","674202","44.68961","142.27248","44.69584","142.30378","69.6","35.02843262","1","0","2","1","38437.02"
"161","013-015","664271","44.60848","142.23142","44.608764","142.248581","132","35.05086369","0","0","0","0","41122.484"
"162","013-020","664260","44.56021","142.10946","44.572247","142.123128","209","25.74787527","0","0","0","0","42935.082"
"163","013-022","664262","44.55115","142.35703","44.56828","142.35532","295","38.29872168","0","1","2","1","39292.68"
"164","013-023","664263","44.56959","142.37229","44.5485","142.3813","199","36.07169319","0","0","0","0","39279.676"
"165","013-024","664264","44.538508","142.597869","44.54261","142.56738","313","25.23407593","0","0","0","0","35322.59"
"166","013-025","664265","44.54816","142.74838","44.56574","142.71954","167","16.08852391","1","0","1","1","32587.91"
"167","013-029","664253","44.44557","142.43461","44.452889","142.446372","106","41.60727715","0","0","0","0","38124.605"
"168","013-031","664255","44.42304","142.68771","44.44553","142.69028","246","28.39882202","1","0","1","1","32983.41"
"169","013-033","664241","44.36661","142.14446","44.3538","142.1386","308","32.45492823","1","0","3","1","39460.207"
"170","013-035","664243","44.40408","142.40164","44.401153","142.424483","101.4","46.7617423","0","0","0","0","39015.43"
"171","013-036","664244","44.33661","142.52538","44.36429","142.53639","128","44.51052995","1","0","1","1","36113.27"
"172","013-038","664246","44.34296","142.84133","44.3677","142.83364","213","26.45778798","0","4","2","1","30776.373"
"173","013-039","664231","44.31139","142.16036","44.33194","142.16774","264","35.61636455","0","1","4","1","39342.176"
"174","013-040","664232","44.3204","142.25405","44.306731","142.264994","343","42.3120404","0","0","0","0","39523.445"
"175","013-043","664235","44.31239","142.70216","44.29344","142.72119","168.4","35.9769272","0","3","1","1","33449.68"
"176","013-045","664221","44.20967","142.1427","44.18617","142.13992","218.1","38.84190698","1","0","3","1","38632.098"
"177","013-046","664222","44.2301","142.26017","44.21946","142.28551","187","46.65021468","0","2","1","1","39347.133"
"178","013-049","664225","44.24344","142.6913","44.24892","142.72917","297","42.56237183","1","0","5","1","35094.953"
"179","013-051","664227","44.23552","142.92601","44.23415","142.90125","305","31.96860641","0","4","3","1","33009.92"
"180","013-052","664211","44.12694","142.16025","44.1152","142.1699","200.7","40.14263266","0","0","0","0","38222.664"
"181","013-053","664212","44.12326","142.25369","44.09729","142.27699","165","47.54865112","-1","1","0","1","38748.055"
"182","013-056","664215","44.11609","142.71881","44.12706","142.7248","327.4","52.33298147","0","3","2","1","36816.023"
"183","013-057","664216","44.09522","142.85728","44.096544","142.835717","804","47.27057498","0","1","2","1","37483.816"
"184","013-058","664217","44.16331","142.91886","44.14113","142.8973","279","38.32585391","0","1","2","1","35164.36"
"185","013-059","664201","44.01207","142.18379","44.01758","142.21235","184","41.85267309","1","0","2","1","36855.523"
"186","013-060","664202","44.03864","142.30424","44.04332","142.28055","217","51.41482794","0","6","2","1","37998.1"
"187","013-062","664204","44.06742","142.61014","44.04763","142.58926","285","61.86419915","0","1","1","1","37448.656"
"188","013-068","654273","43.97874","142.39415","43.97467","142.41022","208","58.88839354","0","0","0","0","38051.918"
"189","013-070","654275","43.95617","142.67322","43.95924","142.67736","319","68.60607817","-1","2","0","1","39515.418"
"190","013-075","654262","43.85823","142.28509","43.86765","142.27486","255.8","52.10217059","0","1","5","1","35140.207"
"191","013-077","654264","43.8699","142.58551","43.86169","142.59979","227","75.79258329","0","6","4","1","41031.215"
"192","013-079","654266","43.88956","142.76336","43.89556","142.77728","420.4","69.30522352","0","0","0","0","41920.844"
"193","013-080","654267","43.85167","142.90573","43.84081","142.91795","516.7","65.240512","-1","4","0","1","44391.906"
"194","013-083","654252","43.80698","142.34825","43.809528","142.357122","156","58.35005765","0","0","0","0","35598.324"
"195","013-088","654257","43.79963","142.92582","43.79502","142.89491","696.9","68.91526285","1","0","2","1","44487.855"
"196","013-091","654241","43.72354","142.22975","43.71346","142.24373","141.7","52.87587004","1","0","1","1","35360.5"
"197","013-092","654242","43.70987","142.31531","43.70117","142.3126","171.4","59.70879657","0","1","1","1","36130.445"
"198","013-094","654244","43.70426","142.58869","43.7009","142.57522","232","80.27400708","0","0","0","0","40892.88"
"199","013-095","654245","43.723","142.69155","43.72257","142.71277","456","87.01631342","0","1","2","1","42062.125"
"200","013-096","654246","43.7245","142.80595","43.74249","142.77945","896.5","81.3312186","0","0","0","0","43360.027"
"201","013-102","654233","43.60587","142.40062","43.60699","142.39258","205.7","71.36059658","0","0","0","0","37934.613"
"202","013-103","654234","43.60866","142.51136","43.60017","142.54043","251","78.92498788","0","0","0","0","39640.023"
"203","013-104","654235","43.63759","142.71269","43.64268","142.7206","617.7","92.26272481","0","2","6","1","42197.234"
"204","013-105","654236","43.6648","142.82934","43.65345","142.81784","1618.4","85.68559158","1","0","1","1","43388.266"
"205","013-106","654237","43.62082","142.94772","43.62348","142.98141","1086","85.12037224","1","0","1","1","43663.76"
"206","013-107","654330","43.62846","143.09126","43.64068","143.0727","879.5","78.96211952","1","0","2","1","43560.65"
"207","013-108","654331","43.62705","143.13697","43.64669","143.12234","971.7","77.42257995","-1","1","0","1","43347.887"
"208","013-118","654213","43.43717","142.40993","43.45952","142.42946","221.8","79.40556462","1","0","2","1","39834.562"
"209","013-119","654214","43.48404","142.58844","43.49919","142.56159","463.5","91.47860397","1","0","6","1","40055.27"
"210","013-120","654215","43.49817","142.6646","43.48667","142.66374","770","95.79546914","0","3","6","1","41073.66"
"211","013-126","654206","43.41088","142.86614","43.41352","142.83524","474","102.3557102","0","0","0","0","38298.918"
"212","013-128","644273","43.30515","142.450264","43.302936","142.482558","374","83.06363928","0","0","0","0","41055.44"
"213","013-131","644276","43.27673","142.74892","43.25857","142.77255","595","98.65165564","1","0","2","1","37737.64"
"214","013-133","644263","43.21284","142.47747","43.21499","142.46855","338","84.86781224","0","0","0","0","40581.383"
"215","013-134","644264","43.17404","142.56089","43.17205489","142.5844094","349","85.46643939","1","0","1","1","40231.63"
"216","013-135","644265","43.21363","142.69754","43.19977","142.68866","512","94.2949378","0","1","5","1","38576.633"
"217","013-136","644266","43.22499","142.76245","43.23543","142.7755","472","94.00327785","0","2","3","1","37490.77"
"218","013-139","644253","43.12644925","142.4382691","43.13517496","142.4371221","358","75.17644325","0","0","0","0","40861.773"
"219","013-140","644254","43.10883","142.58186","43.11943","142.58253","742.8","79.70691133","0","3","4","1","40297.14"
"220","013-142","644256","43.09401","142.83915","43.11554","142.85195","188.1","79.8044784","1","0","3","1","36364.07"
"221","014-004","684117","45.489","141.902108","45.4839","141.92783","121","1.705402831","0","0","0","0","26532.762"
"222","014-006","684105","45.40049","141.67195","45.40952","141.6688","61.6","0.8359488047","0","0","0","0","31102.012"
"223","014-012","674175","45.32562","141.71585","45.31124","141.69608","32","5.520929496","1","0","5","1","30593.422"
"224","014-014","674177","45.32521","141.9698","45.29806","141.96431","204","10.66946469","1","0","3","1","27851.324"
"225","014-015","674270","45.29975","142.05571","45.30665614","142.0437051","52","8.93603873","0","1","1","1","29560.695"
"226","014-016","674271","45.2703","142.22317","45.25361","142.24063","3","1.097229892","-1","2","0","1","29412.918"
"227","014-018","674164","45.22896347","141.5754184","45.21361","141.57755","15","0.7759313321","0","0","0","0","34064.64"
"228","014-020","674166","45.227762","141.750425","45.250462","141.753595","15","12.16844397","0","0","0","0","32637.832"
"229","014-022","674260","45.22443374","142.104476","45.21472","142.07816","14","11.69424321","0","0","0","0","29614.715"
"230","014-023","674261","45.20029","142.19619","45.2073","142.18855","7","7.394570519","0","0","0","0","29352.42"
"231","014-029","674250","45.12078","142.08039","45.1281","142.10541","39","20.08237318","-1","1","0","1","30042.318"
"232","014-030","674251","45.10126","142.22173","45.089856","142.194964","26","12.78395554","0","0","0","0","29411.965"
"233","014-031","674252","45.14838","142.37102","45.158242","142.362122","5","0.4434531493","0","0","0","0","29751.494"
"234","014-032","674253","45.11828","142.3742","45.10868","142.38864","4","2.291027811","0","0","0","0","29759.238"
"235","014-033a","674145","45.04904","141.66101","45.059047","141.65515","7","1.872472887","0","0","0","0","36421.773"
"236","014-033b","674145","45.01648957","141.7315474","45.0209641","141.7328992","2.3","4.279045147","0","0","0","0","36711.312"
"237","014-034a","674146","45.013639","141.768792","45.011783","141.763642","3.9","6.99018996","0","0","0","0","36493.4"
"238","014-034b","674146","45.0289","141.83711","45.03539","141.83419","25","12.62367221","0","2","4","1","35854.242"
"239","014-037","674241","45.07619","142.22825","45.05723","142.20752","27","14.11367975","0","1","4","1","29863.697"
"240","014-038","674242","45.0503","142.27592","45.0466","142.24683","20","13.10430678","0","2","12","1","30782.01"
"241","014-041","674135","44.969917","141.699897","44.967458","141.71845","7","3.621731636","0","0","0","0","38161.402"
"242","014-042","674136","44.969286","141.7633","44.966025","141.743258","10.1","6.330425887","0","0","0","0","37779.367"
"243","014-043","674137","44.9265","141.89413","44.92977","141.89615","10","13.26305818","-1","1","0","1","39709.234"
"244","014-045","674231","44.93297","142.18607","44.93336","142.21682","97","27.05782508","1","0","1","1","34245.336"
"245","014-046","674232","44.92974","142.31461","44.93278","142.33448","60","19.23370309","0","0","0","0","32871.777"
"246","014-048","674234","44.92751","142.57737","44.93284015","142.5595822","8","0.6499882577","1","0","2","1","31496.236"
"247","014-049","674125","44.91711","141.73943","44.91702","141.74612","3.5","1.301996153","1","0","1","1","39705.14"
"248","014-051","674127","44.89786","141.98969","44.90991","141.99035","8.7","19.64749012","0","1","1","1","38338.18"
"249","014-053","674221","44.87756","142.21392","44.88859","142.23313","70","28.83727808","1","0","1","1","35147.816"
"250","014-054","674222","44.874831","142.313014","44.884478","142.324836","92","22.18282915","0","0","0","0","33620.773"
"251","014-056","674224","44.9101","142.58421","44.90328","142.5859","20","1.14463048","0","1","1","1","31633.979"
"252","014-059","674117","44.78501","141.9105","44.75989","141.91126","58.9","11.04582541","0","3","1","1","43064.688"
"253","014-060","674210","44.80533","142.05534","44.81377","142.03397","13.5","22.67935886","1","0","2","1","39124.957"
"254","014-062","674212","44.77218","142.35738","44.75556","142.33519","85","24.44774338","-1","3","0","1","35053.977"
"255","014-064","674214","44.81843","142.50147","44.82523","142.52795","75","12.52270337","1","0","2","1","33191.1"
"256","014-068","674107","44.681667","141.920661","44.69255","141.946753","49","10.32448527","0","0","0","0","43485.13"
"257","014-073","674205","44.7462","142.7338","44.743336","142.711592","27","1.553143434","1","0","5","1","31503.412"
"258","014-082","664166","44.57001","141.82716","44.56898","141.8619","38","3.652878569","0","4","4","1","44416.207"
